datum,artikel,menge,lieferant,lieferschein
2024-08-02,100017,6,LiefTec,LS-10582
2024-08-02,100061,31,InduParts,LS-10583
2024-08-02,100036,13,MechaPro,LS-10584
2024-08-03,100024,5,LiefTec,LS-10585
2024-08-03,100047,15,ElektroPlus,LS-10586
2024-08-04,100064,7,ElektroPlus,LS-10587
2024-08-04,100052,56,MechaPro,LS-10588
2024-08-04,100078,27,LiefTec,LS-10589
2024-08-04,100072,30,InduParts,LS-10590
2024-08-04,100014,8,MechaPro,LS-10591
2024-08-04,100048,22,MechaPro,LS-10592
2024-08-05,100087,59,MechaPro,LS-10593
2024-08-05,100067,10,MechaPro,LS-10594
2024-08-05,100011,39,MechaPro,LS-10595
2024-08-05,100058,26,MechaPro,LS-10596
2024-08-05,100036,47,InduParts,LS-10597
2024-08-07,100060,19,ElektroPlus,LS-10598
2024-08-07,100042,26,MechaPro,LS-10599
2024-08-07,100069,41,InduParts,LS-10600
2024-08-07,100038,56,ElektroPlus,LS-10601
2024-08-07,100055,46,MechaPro,LS-10602
2024-08-07,100062,16,MechaPro,LS-10603
2024-08-07,100045,51,InduParts,LS-10604
2024-08-08,100087,53,MechaPro,LS-10605
2024-08-09,100010,46,InduParts,LS-10606
2024-08-09,100061,42,MechaPro,LS-10607
2024-08-09,100076,22,ElektroPlus,LS-10608
2024-08-10,100097,49,LiefTec,LS-10609
2024-08-10,100024,39,LiefTec,LS-10610
2024-08-10,100070,34,InduParts,LS-10611
2024-08-10,100051,28,LiefTec,LS-10612
2024-08-10,100003,46,LiefTec,LS-10613
2024-08-11,100058,34,MechaPro,LS-10614
2024-08-11,100071,18,LiefTec,LS-10615
2024-08-11,100019,10,LiefTec,LS-10616
2024-08-11,100092,7,ElektroPlus,LS-10617
2024-08-12,100062,20,LiefTec,LS-10618
2024-08-12,100053,11,InduParts,LS-10619
2024-08-12,100073,56,InduParts,LS-10620
2024-08-12,100097,18,ElektroPlus,LS-10621
2024-08-13,100056,13,LiefTec,LS-10622
2024-08-13,100089,19,ElektroPlus,LS-10623
2024-08-13,100040,25,MechaPro,LS-10624
2024-08-14,100002,39,InduParts,LS-10625
2024-08-14,100005,6,InduParts,LS-10626
2024-08-14,100004,31,InduParts,LS-10627
2024-08-14,100004,6,MechaPro,LS-10628
2024-08-14,100053,39,InduParts,LS-10629
2024-08-15,100046,22,MechaPro,LS-10630
2024-08-15,100086,18,InduParts,LS-10631
2024-08-16,100048,24,ElektroPlus,LS-10632
2024-08-16,100008,22,LiefTec,LS-10633
2024-08-16,100098,14,ElektroPlus,LS-10634
2024-08-16,100019,29,LiefTec,LS-10635
2024-08-16,100060,6,LiefTec,LS-10636
2024-08-17,100034,29,LiefTec,LS-10637
2024-08-17,100049,58,MechaPro,LS-10638
2024-08-18,100081,37,InduParts,LS-10639
2024-08-18,100061,40,LiefTec,LS-10640
2024-08-18,100016,35,LiefTec,LS-10641
2024-08-18,100087,18,ElektroPlus,LS-10642
2024-08-18,100002,5,InduParts,LS-10643
2024-08-20,100031,50,InduParts,LS-10644
2024-08-20,100098,20,ElektroPlus,LS-10645
2024-08-20,100012,58,InduParts,LS-10646
2024-08-20,100088,50,LiefTec,LS-10647
2024-08-20,100072,56,MechaPro,LS-10648
2024-08-20,100067,7,InduParts,LS-10649
2024-08-20,100013,39,LiefTec,LS-10650
2024-08-20,100097,45,InduParts,LS-10651
2024-08-21,100010,10,LiefTec,LS-10652
2024-08-22,100055,29,MechaPro,LS-10653
2024-08-22,100066,17,MechaPro,LS-10654
2024-08-23,100091,57,InduParts,LS-10655
2024-08-23,100028,38,MechaPro,LS-10656
2024-08-23,100008,12,InduParts,LS-10657
2024-08-24,100066,25,LiefTec,LS-10658
2024-08-24,100024,38,LiefTec,LS-10659
2024-08-24,100097,8,ElektroPlus,LS-10660
2024-08-25,100075,29,InduParts,LS-10661
2024-08-25,100041,19,LiefTec,LS-10662
2024-08-25,100008,8,InduParts,LS-10663
2024-08-26,100078,49,LiefTec,LS-10664
2024-08-26,100039,16,MechaPro,LS-10665
2024-08-26,100024,36,LiefTec,LS-10666
2024-08-26,100004,36,InduParts,LS-10667
2024-08-26,100010,32,InduParts,LS-10668
2024-08-27,100058,17,LiefTec,LS-10669
2024-08-27,100097,35,ElektroPlus,LS-10670
2024-08-27,100087,18,MechaPro,LS-10671
2024-08-28,100078,24,LiefTec,LS-10672
2024-08-29,100037,22,LiefTec,LS-10673
2024-08-29,100071,33,LiefTec,LS-10674
2024-08-29,100004,10,LiefTec,LS-10675
2024-08-29,100047,36,MechaPro,LS-10676
2024-08-30,100089,33,InduParts,LS-10677
2024-08-30,100017,47,MechaPro,LS-10678
2024-08-31,100069,6,LiefTec,LS-10679
2024-09-02,100036,27,LiefTec,LS-10680
2024-09-02,100059,23,LiefTec,LS-10681
2024-09-03,100047,35,MechaPro,LS-10682
2024-09-03,100076,55,InduParts,LS-10683
2024-09-03,100027,9,LiefTec,LS-10684
2024-09-03,100068,23,InduParts,LS-10685
2024-09-03,100076,38,ElektroPlus,LS-10686
2024-09-03,100080,14,MechaPro,LS-10687
2024-09-05,100039,29,InduParts,LS-10688
2024-09-05,100044,6,MechaPro,LS-10689
2024-09-05,100095,15,InduParts,LS-10690
2024-09-05,100061,54,MechaPro,LS-10691
2024-09-06,100092,35,MechaPro,LS-10692
2024-09-06,100057,19,LiefTec,LS-10693
2024-09-06,100066,13,MechaPro,LS-10694
2024-09-07,100055,27,LiefTec,LS-10695
2024-09-07,100039,23,MechaPro,LS-10696
2024-09-08,100097,13,LiefTec,LS-10697
2024-09-08,100039,39,ElektroPlus,LS-10698
2024-09-08,100090,25,InduParts,LS-10699
2024-09-08,100076,13,MechaPro,LS-10700
2024-09-08,100032,32,LiefTec,LS-10701
2024-09-08,100005,50,ElektroPlus,LS-10702
2024-09-08,100087,55,InduParts,LS-10703
2024-09-09,100018,11,InduParts,LS-10704
2024-09-09,100079,20,LiefTec,LS-10705
2024-09-09,100039,20,MechaPro,LS-10706
2024-09-09,100091,37,LiefTec,LS-10707
2024-09-09,100096,8,LiefTec,LS-10708
2024-09-09,100058,8,InduParts,LS-10709
2024-09-10,100058,43,InduParts,LS-10710
2024-09-10,100047,44,MechaPro,LS-10711
2024-09-10,100040,21,ElektroPlus,LS-10712
2024-09-11,100012,41,MechaPro,LS-10713
2024-09-11,100044,43,MechaPro,LS-10714
2024-09-11,100088,56,MechaPro,LS-10715
2024-09-12,100052,33,ElektroPlus,LS-10716
2024-09-12,100041,56,LiefTec,LS-10717
2024-09-13,100099,40,ElektroPlus,LS-10718
2024-09-13,100062,42,InduParts,LS-10719
2024-09-13,100026,43,LiefTec,LS-10720
2024-09-14,100037,54,MechaPro,LS-10721
2024-09-14,100059,41,ElektroPlus,LS-10722
2024-09-15,100006,56,MechaPro,LS-10723
2024-09-15,100004,39,ElektroPlus,LS-10724
2024-09-15,100044,11,ElektroPlus,LS-10725
2024-09-15,100057,31,MechaPro,LS-10726
2024-09-15,100030,32,MechaPro,LS-10727
2024-09-16,100022,26,ElektroPlus,LS-10728
2024-09-16,100041,18,InduParts,LS-10729
2024-09-17,100009,11,LiefTec,LS-10730
2024-09-18,100031,41,LiefTec,LS-10731
2024-09-18,100052,26,MechaPro,LS-10732
2024-09-19,100029,9,ElektroPlus,LS-10733
2024-09-20,100038,59,InduParts,LS-10734
2024-09-20,100030,6,InduParts,LS-10735
2024-09-20,100081,31,LiefTec,LS-10736
2024-09-20,100099,25,LiefTec,LS-10737
2024-09-20,100001,58,ElektroPlus,LS-10738
2024-09-20,100077,42,LiefTec,LS-10739
2024-09-21,100076,19,LiefTec,LS-10740
2024-09-21,100092,25,LiefTec,LS-10741
2024-09-23,100011,14,InduParts,LS-10742
2024-09-23,100038,27,ElektroPlus,LS-10743
2024-09-24,100065,43,LiefTec,LS-10744
2024-09-24,100095,9,MechaPro,LS-10745
2024-09-24,100012,5,InduParts,LS-10746
2024-09-24,100045,17,ElektroPlus,LS-10747
2024-09-24,100026,25,LiefTec,LS-10748
2024-09-25,100016,30,MechaPro,LS-10749
2024-09-26,100094,54,MechaPro,LS-10750
2024-09-27,100097,49,ElektroPlus,LS-10751
2024-09-27,100059,25,MechaPro,LS-10752
2024-09-27,100063,57,LiefTec,LS-10753
2024-09-27,100087,22,InduParts,LS-10754
2024-09-28,100034,41,InduParts,LS-10755
2024-09-28,100069,49,LiefTec,LS-10756
2024-09-29,100082,36,ElektroPlus,LS-10757
2024-09-29,100029,40,LiefTec,LS-10758
2024-09-29,100070,21,MechaPro,LS-10759
2024-09-29,100073,39,MechaPro,LS-10760
2024-09-30,100095,53,InduParts,LS-10761
2024-09-30,100097,15,MechaPro,LS-10762
2024-10-01,100062,25,ElektroPlus,LS-10763
2024-10-01,100027,56,InduParts,LS-10764
2024-10-01,100059,59,InduParts,LS-10765
2024-10-03,100078,57,InduParts,LS-10766
2024-10-03,100093,30,InduParts,LS-10767
2024-10-03,100036,8,LiefTec,LS-10768
2024-10-03,100092,38,MechaPro,LS-10769
2024-10-03,100021,56,ElektroPlus,LS-10770
2024-10-03,100067,52,LiefTec,LS-10771
2024-10-04,100019,22,InduParts,LS-10772
2024-10-05,100095,44,ElektroPlus,LS-10773
2024-10-05,100099,39,LiefTec,LS-10774
2024-10-06,100067,45,InduParts,LS-10775
2024-10-06,100090,33,MechaPro,LS-10776
2024-10-06,100063,56,MechaPro,LS-10777
2024-10-06,100016,33,LiefTec,LS-10778
2024-10-06,100011,42,LiefTec,LS-10779
2024-10-07,100021,46,InduParts,LS-10780
2024-10-07,100016,25,InduParts,LS-10781
2024-10-08,100009,46,InduParts,LS-10782
2024-10-08,100064,17,MechaPro,LS-10783
2024-10-08,100021,53,LiefTec,LS-10784
2024-10-09,100089,45,InduParts,LS-10785
2024-10-09,100081,21,LiefTec,LS-10786
2024-10-09,100049,13,ElektroPlus,LS-10787
2024-10-09,100013,45,InduParts,LS-10788
2024-10-09,100063,5,InduParts,LS-10789
2024-10-10,100046,6,ElektroPlus,LS-10790
2024-10-10,100028,52,LiefTec,LS-10791
2024-10-10,100075,33,InduParts,LS-10792
2024-10-10,100035,37,MechaPro,LS-10793
2024-10-11,100098,14,ElektroPlus,LS-10794
2024-10-11,100051,54,LiefTec,LS-10795
2024-10-11,100075,44,InduParts,LS-10796
2024-10-12,100006,25,ElektroPlus,LS-10797
2024-10-12,100028,32,LiefTec,LS-10798
2024-10-12,100010,15,MechaPro,LS-10799
2024-10-12,100032,59,InduParts,LS-10800
2024-10-12,100005,38,MechaPro,LS-10801
2024-10-14,100078,12,LiefTec,LS-10802
2024-10-14,100031,26,LiefTec,LS-10803
2024-10-14,100050,12,LiefTec,LS-10804
2024-10-15,100074,53,ElektroPlus,LS-10805
2024-10-15,100057,19,MechaPro,LS-10806
2024-10-15,100086,21,LiefTec,LS-10807
2024-10-15,100025,27,MechaPro,LS-10808
2024-10-15,100097,28,MechaPro,LS-10809
2024-10-16,100045,49,LiefTec,LS-10810
2024-10-16,100097,23,MechaPro,LS-10811
2024-10-18,100028,9,MechaPro,LS-10812
2024-10-18,100003,36,MechaPro,LS-10813
2024-10-19,100080,48,InduParts,LS-10814
2024-10-19,100098,5,LiefTec,LS-10815
2024-10-20,100012,27,InduParts,LS-10816
2024-10-20,100038,41,MechaPro,LS-10817
2024-10-20,100014,12,MechaPro,LS-10818
2024-10-20,100028,17,InduParts,LS-10819
2024-10-21,100028,12,MechaPro,LS-10820
2024-10-22,100074,27,ElektroPlus,LS-10821
2024-10-24,100031,47,InduParts,LS-10822
2024-10-25,100001,5,MechaPro,LS-10823
2024-10-26,100046,49,InduParts,LS-10824
2024-10-26,100077,55,InduParts,LS-10825
2024-10-27,100083,28,LiefTec,LS-10826
2024-10-27,100021,39,LiefTec,LS-10827
2024-10-27,100074,28,LiefTec,LS-10828
2024-10-28,100026,21,ElektroPlus,LS-10829
2024-10-28,100066,9,InduParts,LS-10830
2024-10-29,100080,24,ElektroPlus,LS-10831
2024-10-29,100055,25,InduParts,LS-10832
2024-10-29,100091,44,MechaPro,LS-10833
2024-10-29,100092,35,LiefTec,LS-10834
2024-10-30,100020,50,InduParts,LS-10835
2024-10-30,100046,40,MechaPro,LS-10836
2024-10-30,100079,15,ElektroPlus,LS-10837
2024-10-30,100058,56,LiefTec,LS-10838
2024-10-30,100083,19,MechaPro,LS-10839
2024-10-31,100005,23,InduParts,LS-10840
2024-10-31,100018,11,InduParts,LS-10841
2024-11-01,100056,55,MechaPro,LS-10842
2024-11-01,100068,32,InduParts,LS-10843
2024-11-01,100002,55,LiefTec,LS-10844
2024-11-02,100000,47,InduParts,LS-10845
2024-11-02,100057,9,InduParts,LS-10846
2024-11-03,100037,9,ElektroPlus,LS-10847
2024-11-03,100014,34,InduParts,LS-10848
2024-11-03,100033,58,MechaPro,LS-10849
2024-11-04,100060,36,LiefTec,LS-10850
2024-11-05,100034,12,ElektroPlus,LS-10851
2024-11-05,100063,14,MechaPro,LS-10852
2024-11-06,100024,42,ElektroPlus,LS-10853
2024-11-06,100023,51,LiefTec,LS-10854
2024-11-06,100011,36,InduParts,LS-10855
2024-11-07,100017,52,InduParts,LS-10856
2024-11-07,100014,32,ElektroPlus,LS-10857
2024-11-07,100079,21,MechaPro,LS-10858
2024-11-08,100026,35,InduParts,LS-10859
2024-11-08,100071,12,MechaPro,LS-10860
2024-11-09,100059,44,LiefTec,LS-10861
2024-11-09,100045,29,InduParts,LS-10862
2024-11-09,100088,13,InduParts,LS-10863
2024-11-10,100016,6,ElektroPlus,LS-10864
2024-11-10,100092,19,MechaPro,LS-10865
2024-11-10,100052,54,LiefTec,LS-10866
2024-11-11,100007,7,LiefTec,LS-10867
2024-11-11,100078,53,MechaPro,LS-10868
2024-11-11,100026,40,MechaPro,LS-10869
2024-11-12,100045,8,InduParts,LS-10870
2024-11-12,100049,18,MechaPro,LS-10871
2024-11-12,100070,45,ElektroPlus,LS-10872
2024-11-12,100002,45,ElektroPlus,LS-10873
2024-11-13,100092,29,InduParts,LS-10874
2024-11-13,100063,59,ElektroPlus,LS-10875
2024-11-13,100043,54,InduParts,LS-10876
2024-11-13,100052,14,MechaPro,LS-10877
2024-11-14,100023,25,LiefTec,LS-10878
2024-11-14,100059,40,MechaPro,LS-10879
2024-11-15,100002,16,MechaPro,LS-10880
2024-11-15,100019,31,ElektroPlus,LS-10881
2024-11-15,100045,44,MechaPro,LS-10882
2024-11-16,100014,6,ElektroPlus,LS-10883
2024-11-16,100024,58,InduParts,LS-10884
2024-11-17,100093,17,LiefTec,LS-10885
2024-11-17,100077,57,ElektroPlus,LS-10886
2024-11-18,100070,36,MechaPro,LS-10887
2024-11-18,100016,35,MechaPro,LS-10888
2024-11-18,100083,20,InduParts,LS-10889
2024-11-19,100099,36,LiefTec,LS-10890
2024-11-19,100008,36,InduParts,LS-10891
2024-11-20,100037,38,MechaPro,LS-10892
2024-11-20,100047,15,MechaPro,LS-10893
2024-11-20,100059,14,ElektroPlus,LS-10894
2024-11-21,100062,19,MechaPro,LS-10895
2024-11-21,100085,21,LiefTec,LS-10896
2024-11-21,100001,44,MechaPro,LS-10897
2024-11-21,100087,22,ElektroPlus,LS-10898
2024-11-22,100071,59,LiefTec,LS-10899
2024-11-22,100010,13,LiefTec,LS-10900
2024-11-22,100063,29,LiefTec,LS-10901
2024-11-23,100076,44,LiefTec,LS-10902
2024-11-24,100080,18,InduParts,LS-10903
2024-11-25,100071,29,InduParts,LS-10904
2024-11-25,100020,54,MechaPro,LS-10905
2024-11-25,100017,26,InduParts,LS-10906
2024-11-26,100093,56,MechaPro,LS-10907
2024-11-26,100063,34,ElektroPlus,LS-10908
2024-11-26,100081,24,ElektroPlus,LS-10909
2024-11-26,100094,25,MechaPro,LS-10910
2024-11-28,100037,48,ElektroPlus,LS-10911
2024-11-30,100031,36,InduParts,LS-10912
2024-11-30,100010,55,MechaPro,LS-10913
2024-11-30,100044,50,LiefTec,LS-10914
2024-11-30,100088,53,MechaPro,LS-10915
2024-12-01,100032,25,InduParts,LS-10916
2024-12-01,100040,39,ElektroPlus,LS-10917
2024-12-02,100007,36,InduParts,LS-10918
2024-12-02,100010,34,ElektroPlus,LS-10919
2024-12-03,100085,59,InduParts,LS-10920
2024-12-03,100050,43,InduParts,LS-10921
2024-12-03,100087,53,InduParts,LS-10922
2024-12-03,100040,16,MechaPro,LS-10923
2024-12-04,100016,45,MechaPro,LS-10924
2024-12-04,100075,51,InduParts,LS-10925
2024-12-05,100045,22,LiefTec,LS-10926
2024-12-05,100031,25,InduParts,LS-10927
2024-12-05,100078,17,LiefTec,LS-10928
2024-12-05,100079,25,MechaPro,LS-10929
2024-12-05,100053,12,InduParts,LS-10930
2024-12-06,100085,50,LiefTec,LS-10931
2024-12-06,100091,44,LiefTec,LS-10932
2024-12-06,100019,50,MechaPro,LS-10933
2024-12-07,100032,11,ElektroPlus,LS-10934
2024-12-07,100073,27,LiefTec,LS-10935
2024-12-07,100039,48,ElektroPlus,LS-10936
2024-12-07,100031,36,LiefTec,LS-10937
2024-12-07,100096,15,ElektroPlus,LS-10938
2024-12-07,100001,26,ElektroPlus,LS-10939
2024-12-08,100096,26,MechaPro,LS-10940
2024-12-09,100032,47,MechaPro,LS-10941
2024-12-09,100076,29,MechaPro,LS-10942
2024-12-10,100029,26,InduParts,LS-10943
2024-12-10,100032,32,LiefTec,LS-10944
2024-12-11,100076,33,LiefTec,LS-10945
2024-12-11,100025,17,LiefTec,LS-10946
2024-12-11,100021,22,MechaPro,LS-10947
2024-12-11,100065,6,LiefTec,LS-10948
2024-12-11,100037,33,InduParts,LS-10949
2024-12-11,100089,25,ElektroPlus,LS-10950
2024-12-11,100045,19,MechaPro,LS-10951
2024-12-12,100014,56,MechaPro,LS-10952
2024-12-13,100097,31,MechaPro,LS-10953
2024-12-13,100043,54,InduParts,LS-10954
2024-12-13,100048,35,ElektroPlus,LS-10955
2024-12-13,100074,19,ElektroPlus,LS-10956
2024-12-14,100060,55,ElektroPlus,LS-10957
2024-12-14,100066,27,LiefTec,LS-10958
2024-12-14,100005,28,InduParts,LS-10959
2024-12-14,100008,48,InduParts,LS-10960
2024-12-14,100005,17,LiefTec,LS-10961
2024-12-15,100072,26,ElektroPlus,LS-10962
2024-12-15,100094,47,LiefTec,LS-10963
2024-12-15,100031,41,InduParts,LS-10964
2024-12-15,100040,37,LiefTec,LS-10965
2024-12-16,100075,7,MechaPro,LS-10966
2024-12-16,100007,58,InduParts,LS-10967
2024-12-17,100071,23,MechaPro,LS-10968
2024-12-17,100049,27,MechaPro,LS-10969
2024-12-17,100091,33,MechaPro,LS-10970
2024-12-19,100061,34,InduParts,LS-10971
2024-12-20,100083,43,LiefTec,LS-10972
2024-12-20,100061,48,MechaPro,LS-10973
2024-12-20,100006,51,ElektroPlus,LS-10974
2024-12-20,100074,29,InduParts,LS-10975
2024-12-21,100083,41,MechaPro,LS-10976
2024-12-22,100079,51,InduParts,LS-10977
2024-12-22,100003,12,InduParts,LS-10978
2024-12-22,100005,46,ElektroPlus,LS-10979
2024-12-23,100057,20,MechaPro,LS-10980
2024-12-23,100021,12,LiefTec,LS-10981
2024-12-24,100025,5,LiefTec,LS-10982
2024-12-24,100002,48,LiefTec,LS-10983
2024-12-25,100040,9,MechaPro,LS-10984
2024-12-25,100059,7,LiefTec,LS-10985
2024-12-25,100013,5,InduParts,LS-10986
2024-12-25,100074,8,MechaPro,LS-10987
2024-12-25,100081,44,LiefTec,LS-10988
2024-12-25,100011,39,ElektroPlus,LS-10989
2024-12-26,100086,36,MechaPro,LS-10990
2024-12-26,100011,46,LiefTec,LS-10991
2024-12-28,100012,38,InduParts,LS-10992
2024-12-29,100024,47,LiefTec,LS-10993
2024-12-29,100044,29,InduParts,LS-10994
2024-12-30,100018,14,InduParts,LS-10995
2024-12-30,100054,25,MechaPro,LS-10996
2024-12-30,100099,50,InduParts,LS-10997
2024-12-30,100044,43,MechaPro,LS-10998
2024-12-30,100007,31,MechaPro,LS-10999
2024-12-30,100092,31,LiefTec,LS-11000
